Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
advent  	ent     	 0.00	 0.00	 0.33	 0.17	 0.50	 0.25	 0.36	 0.17	
advent  	vdatne  	 0.33	 0.33	 0.33	 0.33	 0.39	 0.25	 0.18	 0.38	
advent  	eandtv  	 0.00	 0.00	 0.00	 0.00	 0.31	 0.33	 0.38	 0.46	
advent  	atnevd  	 0.33	 0.33	 0.33	 0.33	 0.45	 0.08	 0.17	 0.70	
advent  	zdvent  	 0.83	 0.00	 0.33	 0.83	 0.75	 0.75	 0.79	 0.30	
advent  	advrnt  	 0.83	 0.50	 0.50	 0.83	 0.88	 0.58	 0.58	 0.81	
advent  	advenx  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
advent  	advqet  	 0.67	 0.83	 0.83	 0.67	 0.84	 0.58	 0.56	 0.81	
advent  	adfsnt  	 0.67	 0.33	 0.33	 0.67	 0.75	 0.25	 0.31	 0.62	
advent  	advient 	 0.50	 0.83	 0.83	 1.00	 0.90	 0.75	 0.85	 0.96	
advent  	advigent	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
advent  	azhost  	 0.33	 0.33	 0.33	 0.33	 0.50	 0.00	 0.00	 0.21	
advent  	cadvent 	 0.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 0.61	
advent  	adventm 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
advent  	advwwent	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
advise  	advise  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
advise  	davise  	 0.67	 0.50	 0.83	 0.67	 0.81	 0.83	 0.83	 0.66	
advise  	adivse  	 0.67	 1.00	 1.00	 0.67	 0.93	 0.92	 0.77	 0.95	
advise  	advies  	 0.67	 1.00	 1.00	 0.67	 0.81	 0.83	 0.83	 0.94	
advise  	aivdse  	 0.67	 0.33	 0.33	 0.67	 0.82	 0.67	 0.44	 0.81	
advise  	asvide  	 0.67	 0.67	 0.67	 0.67	 0.76	 0.42	 0.32	 0.78	
advise  	adise   	 0.33	 0.67	 0.67	 0.67	 0.81	 0.58	 0.64	 0.72	
advise  	advis   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
advise  	adse    	 0.33	 0.33	 0.33	 0.67	 0.57	 0.25	 0.33	 0.57	
advise  	daives  	 0.00	 0.17	 0.50	 0.00	 0.48	 0.67	 0.44	 0.59	
advise  	iseadv  	 0.00	 0.00	 0.00	 0.00	 0.38	 0.50	 0.73	 0.33	
advise  	ise     	 0.00	 0.00	 0.17	 0.17	 0.50	 0.25	 0.36	 0.17	
advise  	vdaesi  	 0.33	 0.33	 0.50	 0.33	 0.39	 0.25	 0.18	 0.38	
advise  	iasdev  	 0.00	 0.00	 0.00	 0.00	 0.31	 0.33	 0.38	 0.46	
advise  	aesivd  	 0.33	 0.50	 0.50	 0.33	 0.45	 0.08	 0.17	 0.70	
advise  	pdvise  	 0.83	 0.00	 0.17	 0.83	 0.75	 0.75	 0.79	 0.30	
advise  	advwse  	 0.83	 0.50	 0.33	 0.83	 0.88	 0.58	 0.58	 0.81	
advise  	advisp  	 0.83	 0.83	 0.33	 0.83	 0.75	 0.75	 0.79	 0.71	
advise  	avrise  	 0.67	 0.67	 0.67	 0.67	 0.84	 0.58	 0.56	 0.66	
advise  	adhqse  	 0.67	 0.33	 0.33	 0.67	 0.75	 0.25	 0.31	 0.62	
advise  	advbise 	 0.50	 0.83	 0.67	 1.00	 0.90	 0.75	 0.85	 0.96	
advise  	advkrise	 0.50	 0.83	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
advise  	atfxre  	 0.33	 0.17	 0.17	 0.33	 0.50	 0.00	 0.00	 0.21	
advise  	qadvise 	 0.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 0.61	
advise  	adviseg 	 1.00	 1.00	 0.50	 0.50	 0.88	 1.00	 1.00	 1.00	
advise  	advqqise	 0.50	 0.83	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
albino  	albino  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
albino  	labino  	 0.67	 0.50	 0.83	 0.67	 0.81	 0.83	 0.83	 0.66	
albino  	albnio  	 0.67	 1.00	 1.00	 0.67	 0.93	 0.83	 0.80	 0.96	
albino  	albion  	 0.67	 1.00	 1.00	 0.67	 0.81	 0.83	 0.83	 0.94	
albino  	aiblno  	 0.67	 0.33	 0.33	 0.67	 0.82	 0.67	 0.44	 0.81	
